Pick the role that best describes you,Where you are primarily based,Which wallet(s) you use most often,How long you have been actively involved with Ethereum,How often you interact with Ethereum,What you primarily use Ethereum for,"How confident you feel using wallets, signing, and using dapps",Which statements match your typical behavior,What does privacy mean to you?,Your main reasons for using privacy tools.,"Have you used any privacy tools (e.g. VPNs, encrypted email/messenger) before?","Have you used any onchain privacy tools (e.g. Tornado Cash, Railgun, Zcash) before?",How important transaction privacy is to you when using Ethereum,Your overall satisfaction with the current level of privacy available on Ethereum today,How confident you are what is private and what is not when using privacy on Ethereum,How confident you are that what is private will remain private in the future,Your trust in the tools or methods you use for privacy on Ethereum,Which factors most influence your trust in using privacy tools,Which in-app signals would help you feel more confident and safe,How often you use each category of privacy tools | Mixers or privacy pools,How often you use each category of privacy tools | Shielded pools or transactions,How often you use each category of privacy tools | Stealth or one-time addresses,How often you use each category of privacy tools | ZK identity or selective disclosure proofs,How often you use each category of privacy tools | Private or anonymous voting,How often you use each category of privacy tools | Private relayers or paymasters,How often you use each category of privacy tools | Private mempools or MEV-protected order flows,How often you use each category of privacy tools | Private L2/rollups focused on privacy,How often you use each category of privacy tools | Private read mode or custom/private RPCs,Which onchain privacy tools do you use most (be specific),How often you use other privacy tools | VPN,How often you use other privacy tools | Tor,How often you use other privacy tools | Encrypted messaging (e.g. Signal),How often you use other privacy tools | Password manager,How often you use other privacy tools | Hardware security key (e.g. YubiKey),How often you use other privacy tools | Private or hardened browser profile,How often you use other privacy tools | Ad/tracker blockers,How often you use other privacy tools | Email aliases or burner emails,How often you use other privacy tools | Encrypted storage,How often you use other privacy tools | Encrypted DNS,What stops you most from using privacy tools today,What stops you most from using privacy tools today,Have you ever abandoned a privacy app before using or finishing the flow?,"If yes, why?",What your biggest risks are when transacting on Ethereum,Which trade-offs are acceptable for you when using privacy features,Where you would expect to turn on privacy,"Do you prefer transparency by default with an option to go private, or privacy by default with an option to share",How important is it that your main wallet includes clear privacy controls,How likely are you to switch if another wallet offers clearly better privacy,Which of these would help you use privacy tools more,Which of these would help you use privacy tools more,"What’s one thing you’d change, fix, or add to increase adoption of privacy on Ethereum",What privacy use cases or projects are you most excited about?,Any other feedback you like to share
Developer,Europe,"Rabby,Rainbow,Gnosis Safe",9+ years,Daily,"Finance, payments and transfers,NFTs, art, collectibles, memberships, etc.,Running nodes or infrastructure",Very confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I use social recovery or a recovery setup I trust,I use a multisig or smart account",It's important,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Reduce data trails across apps and services",Yes,Yes,Very important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Widely used in production and time-tested,Transparent team identity and track record,Open-source code","Simple explanation of risks, leaks and trade-offs,Integrated test networks,Linked verified contracts and release notes",Weekly,Monthly,Rarely,Rarely,Rarely,Never,Never,Monthly,Never,"Privacy Pools, Payy",Daily,Rarely,Daily,Daily,Rarely,Daily,Daily,Daily,Daily,Never,"Missing in my wallet or favorite dapps,Too few people use it, so privacy feels weak,Security concerns",,Sometimes,"Unclear what it would do,Unsure the tool was safe or trustworthy,Needed new wallet/account or setup I didn’t want","Physical targeting or extortion risk,Permanent onchain records that cannot be undone,Contract exploits or protocol hacks","2–3 extra confirmations or screens,Switching to a different network or L2,Lower compatibility with some dapps or tools",In my wallet,"Private by default, option to share",Very important,Likely,"Private send in wallets,Private L2s focused on privacy,Selective disclosure proofs",,Native private transfers ,Aztec,
Product,East Asia,MetaMask,3-5 years,Daily,"Finance, payments and transfers,Work, salary or payroll,Education and learning",Somewhat confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I simulate or dry run transactions before sending,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a multisig or smart account",Something important but we don’t usually think about until something goes wrong,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Very important,Satisfied,Somewhat confident,Somewhat confident,Trust,"Referrals or endorsements from trusted people or orgs,Widely used in production and time-tested,Transparent team identity and track record","Simple explanation of risks, leaks and trade-offs,Onboarding with in-app documentation and tips,Integrated test networks",Never,Never,Monthly,Rarely,Never,Never,Never,Rarely,Never,Fluidkey,Daily,Never,Daily,Daily,Never,Never,Never,Never,Never,Never,"Complex or hard to use,Too few people use it, so privacy feels weak,My activity does not feel sensitive enough",,Sometimes,"Unclear what it would do,Unsure the tool was safe or trustworthy,Took too long or got stuck","Losing funds or access,Metadata leakage (IP, RPC, browser, mempool),Social or reputation risk","Wait up to a few minutes longer,2–3 extra confirmations or screens,Signing multiple transactions","I do not care where, I just want it to work","Public by default, option to go private",Important,Very likely,"Private send in wallets,Private identity and attestations,Selective disclosure proofs",,Better UX and story,,
Ethereum user,East Asia,"MetaMask,Other",3-5 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.",Very confident,"I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically",,,Yes,Yes,Very important,Not at all satisfied,Not at all confident,Not at all confident,Trust,"Clear docs on how it works, architecture, and trade-offs,Referrals or endorsements from trusted people or orgs,Open-source code",,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,None,Daily,Daily,Daily,Daily,Rarely,Daily,Daily,Daily,Daily,Rarely,"Complex or hard to use,High gas or transaction costs,Doesn’t work the same across apps or chains",,Rarely,Unclear what the benefits were,"Physical targeting or extortion risk,Deanonymization later by chain analysis,Metadata leakage (IP, RPC, browser, mempool)","2–3 extra confirmations or screens,Signing multiple transactions,Using a separate wallet or account",In my wallet,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Private stablecoins,Privacy-preserving RPC and network routing",,Privacy on L1,Kohaku ,
Security,South America,MetaMask,3-5 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Work, salary or payroll",Somewhat confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I use a hardware wallet as my primary signer,I use social recovery or a recovery setup I trust",Anarquism,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Prevent targeting, scams, or front-running",Yes,Yes,Very important,Satisfied,Confident,Confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Transparent team identity and track record,Open-source code","Transaction preview or simulation before sending,Integrated test networks,Linked audits or a security page",Monthly,Weekly,Never,Rarely,Rarely,Never,Never,Never,Never,"Monero, tornado",Daily,Weekly,Weekly,Weekly,Never,Daily,Daily,Never,,,"Complex or hard to use,High gas or transaction costs,Regulatory or policy uncertainty",,Rarely,"Unclear what it would do,Unclear what the benefits were,Took too long or got stuck","Losing funds or access,Targeted attacks, scams, or phishing","Pay up to ~5% more in fees,Wait up to a few minutes longer,Switching to a different network or L2",In my network or connection settings,"Private by default, option to share",Important,Likely,"Private send in wallets,Private messaging,Private L2s focused on privacy",,Easy use,Privacy pools,I hate goverments
Developer,Europe,"MetaMask,Other",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing",Freedom ,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Very important,Somewhat satisfied,Confident,Not at all confident,Some trust,Clear website and language that explains what it does,"Onboarding with in-app documentation and tips,Linked audits or a security page,Linked verified contracts and release notes",Rarely,Rarely,Daily,Never,Never,Never,Never,Never,Never,Fluidkey ,Daily,Rarely,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,"Complex or hard to use,High gas or transaction costs,Missing in my wallet or favorite dapps",,Rarely,,"Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks",Lower compatibility with some dapps or tools,In my wallet,"Private by default, option to share",Very important,Very likely,"Verifiable in-App privacy labels, audits, and reputation badges",,Keystore ,Privacy pools tò break traceability ,
Community builder,Africa,"MetaMask,Zerion",6-8 years,Daily,"NFTs, art, collectibles, memberships, etc.,Identity, like ENS, Passports, etc.,Education and learning",Very confident,"I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I use a hardware wallet as my primary signer",,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Keep work and personal activity separate",No,Yes,Very important,Somewhat satisfied,Very confident,Confident,Strong trust,"Clear website and language that explains what it does,Referrals or endorsements from trusted people or orgs,Transparent team identity and track record","Clear instructions and confirmation prompts,Transaction preview or simulation before sending",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,,,,,,,,,,,Complex or hard to use,,,,,,,,,,"Private send in wallets,Private identity and attestations,Private messaging",,Education and Ethereum Communities Focus,,
Education,Southeast Asia,"MetaMask,Rabby,Gnosis Safe",6-8 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Identity, like ENS, Passports, etc.",Not at all confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I use a multisig or smart account",very important,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Important,Not at all satisfied,Not at all confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Independent audits","Simple explanation of risks, leaks and trade-offs,Linked audits or a security page,Linked verified contracts and release notes",Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,tornado cash,Monthly,Rarely,Rarely,Daily,Weekly,Weekly,Never,Rarely,Never,Never,"Complex or hard to use,High gas or transaction costs,Regulatory or policy uncertainty",,Sometimes,"Unclear what it would do,Fees or deposits required up front,Unsure the tool was safe or trustworthy","Losing funds or access,Contract exploits or protocol hacks,Legal or policy issues","Wait up to a few minutes longer,2–3 extra confirmations or screens,Switching to a different network or L2",In my wallet,"Private by default, option to share",Important,Likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,i need a switch on wallet to turn on private mode,like tornado cash but much cheaper and easy to use,
Product,Europe,"MetaMask,Rabby,Gnosis Safe",6-8 years,Daily,"Finance, payments and transfers,Identity, like ENS, Passports, etc.,DAOs and governance",Confident,"I review gas, nonce, and permissions before confirming,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically,I use a multisig or smart account",Freedom to choose what becomes public,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact",Yes,Yes,Important,Satisfied,Confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Transparent team identity and track record,Open-source code","Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending,Proofs or logs you can copy or share if you need to prove something later",Never,Rarely,Weekly,Rarely,Rarely,Weekly,Weekly,Rarely,Weekly,Fluidkey,Daily,Rarely,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Missing in my wallet or favorite dapps,,Rarely,Fees or deposits required up front,"Metadata leakage (IP, RPC, browser, mempool),Government or big-tech surveillance and misuse of data,Permanent onchain records that cannot be undone","Wait up to a few minutes longer,Switching to a different network or L2,Using a separate wallet or account",Inside the app I am using,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Private governance and voting,Selective disclosure proofs",,Make it a default,Neptune Cash,Wishing you the best with these new efforts
Developer,East Asia,"MetaMask,OKX wallet",6-8 years,Monthly,"Finance, payments and transfers,Work, salary or payroll",Somewhat confident,"I review gas, nonce, and permissions before confirming",a way to earn money ,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact",Yes,Yes,Somewhat important,Somewhat satisfied,Somewhat confident,Somewhat confident,No trust at all,"Clear docs on how it works, architecture, and trade-offs,Verifiable releases and contracts, reproducible builds, and clear changelogs","Trusted badge or reputation labels,Proofs or logs you can copy or share if you need to prove something later",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,Daily,,,Daily,,,,,,,Other,,,,,,,,,,"Privacy-preserving RPC and network routing,Privacy risk and monitoring dashboards",,I learn zk ,,
Researcher,East Asia,"MetaMask,Other",1-2 years,Rarely,"Finance, payments and transfers,Work, salary or payroll",Somewhat confident,"I review gas, nonce, and permissions before confirming,I avoid linking social profiles to my active addresses",everything,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact",Yes,No,Somewhat important,Not at all satisfied,Somewhat confident,Confident,No trust at all,"Clear docs on how it works, architecture, and trade-offs,Widely used in production and time-tested,Open-source code","Clear instructions and confirmation prompts,Transaction preview or simulation before sending,Proofs or logs you can copy or share if you need to prove something later",Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Monthly,Never,Never,,Daily,,Weekly,Daily,Rarely,Rarely,Daily,Daily,Daily,Monthly,"Complex or hard to use,Too few people use it, so privacy feels weak,Hard to verify what is private",,Sometimes,"Too many steps or signatures,Unclear what it would do,Took too long or got stuck","Government or big-tech surveillance and misuse of data,Contract exploits or protocol hacks,Social or reputation risk","Wait up to a few minutes longer,Signing multiple transactions,Switching to a different network or L2",Inside the app I am using,"Private by default, option to share",Important,Very likely,"Private send in wallets,Private messaging,Private governance and voting",,none,none,yes
